id,y01,y02,y03,y04,y05,y06,y07,y08,y09,y10
1,763,916,990,2419,1291,828,771,837,936,891
2,762,914,987,2398,1284,827,770,836,934,889
3,760,910,982,2374,1275,824,768,833,929,886
4,758,906,977,2351,1267,821,765,830,925,882
5,756,902,972,2328,1258,818,763,827,921,878
6,754,898,968,2305,1249,815,761,824,916,874
7,751,894,963,2284,1240,812,758,821,912,870
8,748,890,958,2262,1233,810,756,818,908,866
9,747,886,953,2240,1224,806,754,815,903,863
10,744,882,948,2218,1216,803,751,811,900,859
11,742,878,944,2197,1208,801,749,808,895,855
12,740,874,939,2176,1200,798,747,806,891,852
13,738,870,934,2156,1192,795,745,803,887,848
14,735,867,929,2136,1185,792,742,800,884,845
15,733,863,925,2115,1177,789,740,798,880,841
16,732,860,920,2095,1170,786,738,794,876,838
17,729,856,916,2075,1162,783,736,792,872,835
18,727,852,912,2056,1155,781,733,789,868,831
19,725,849,907,2037,1148,778,731,786,865,828
20,723,845,903,2018,1141,775,729,784,861,825
21,721,842,899,2000,1134,772,727,781,858,822
22,719,839,895,1982,1127,770,725,778,854,819
23,717,836,891,1964,1120,768,723,776,851,816
24,715,833,887,1947,1113,766,722,773,847,813
25,713,830,883,1929,1106,763,720,771,844,810
26,711,827,880,1913,1100,761,718,769,841,807
27,709,824,876,1896,1093,759,716,767,837,803
28,707,821,872,1880,1087,757,714,764,834,801
29,706,818,868,1864,1080,755,712,762,831,798
30,704,815,864,1847,1074,753,710,760,827,795
31,702,812,861,1832,1068,751,709,758,824,793
32,700,809,857,1816,1062,747,707,756,821,789
33,698,807,854,1800,1056,746,705,754,818,787
34,697,804,850,1785,1050,744,703,751,815,784
35,696,801,847,1770,1044,741,701,749,811,779
36,694,798,843,1755,1038,739,699,746,808,776
37,692,795,840,1739,1033,737,698,744,805,774
38,690,793,837,1725,1027,735,697,742,803,771
39,689,790,834,1710,1022,733,695,740,800,768
40,687,787,830,1694,1016,731,693,737,797,766
41,686,784,827,1680,1011,729,692,735,794,764
42,684,782,824,1665,1006,727,690,732,791,761
43,683,779,821,1650,1001,725,689,731,788,759
44,681,776,818,1637,996,723,688,729,785,757
45,680,774,816,1622,991,721,686,726,783,754
46,679,771,813,1609,986,719,684,724,780,753
47,677,768,810,1595,980,717,683,722,778,750
48,676,766,808,1582,976,716,682,721,775,748
49,674,763,805,1569,970,713,680,719,772,746
50,673,761,803,1557,966,711,679,716,770,744
51,671,759,800,1544,961,710,678,715,768,741
52,670,757,798,1532,955,707,667,712,766,739
53,669,755,795,1520,951,706,657,711,763,737
54,667,752,792,1508,946,704,650,709,761,735
55,666,750,790,1496,941,702,649,707,759,733
56,665,748,787,1484,937,700,648,706,756,731
57,663,746,785,1473,932,699,647,704,754,728
58,662,744,781,1462,928,697,646,702,752,726
59,660,741,779,1451,923,695,645,700,750,724
60,659,739,775,1440,918,694,644,699,748,722
61,658,737,772,1429,914,692,643,697,746,720
62,656,734,769,1419,910,691,642,696,743,718
63,655,732,766,1407,905,689,641,694,741,716
64,654,730,762,1397,901,687,640,692,739,714
65,653,728,759,1387,897,686,639,690,737,712
66,652,726,756,1377,893,684,638,689,735,710
67,651,724,754,1367,889,683,637,687,733,709
68,649,722,751,1357,885,681,636,686,730,707
69,648,719,749,1347,881,679,635,684,728,705
70,647,717,746,1337,877,678,634,682,726,703
71,646,715,744,1327,873,677,633,681,724,701
72,645,713,742,1318,869,676,632,679,722,699
73,644,712,739,1309,865,674,631,678,720,698
74,642,710,737,1300,862,672,630,676,718,696
75,641,708,735,1290,858,671,629,674,716,694
76,640,705,733,1281,854,669,628,673,714,692
77,639,703,730,1273,851,669,628,672,713,691
78,638,702,728,1264,847,667,627,670,710,689
79,637,700,726,1256,843,665,626,669,708,688
80,636,698,724,1247,840,664,625,668,706,686
81,635,697,722,1238,837,663,624,666,705,684
82,634,695,720,1230,833,662,623,665,703,683
83,633,694,718,1222,830,661,622,663,701,681
84,631,692,716,1214,826,660,621,662,699,679
85,631,691,714,1206,823,658,620,661,698,678
86,630,689,713,1198,821,657,620,660,696,676
87,628,688,711,1190,818,656,619,659,695,675
88,627,686,709,1182,815,655,618,658,693,673
89,626,684,707,1175,812,654,617,656,691,672
90,625,683,706,1167,809,653,616,655,690,670
91,624,681,704,1160,807,652,615,654,688,669
92,622,680,702,1153,804,652,614,653,686,667
93,621,678,701,1146,801,651,614,651,685,666
94,620,677,699,1138,798,650,613,650,683,665
95,619,676,697,1131,796,649,612,649,682,664
96,618,674,695,1124,793,648,612,648,681,663
97,617,673,693,1117,790,647,610,647,679,662
98,616,671,692,1111,788,646,610,646,678,661
99,615,669,691,1104,785,645,608,645,676,660
100,614,668,689,1097,782,644,608,643,675,659
101,613,667,687,1091,779,644,607,642,674,657
102,612,666,686,1085,777,642,606,641,672,656
103,612,664,684,1078,774,641,606,640,671,655
104,611,663,682,1072,772,640,605,639,669,654
105,610,662,681,1066,769,639,604,638,668,653
106,609,661,680,1060,767,638,604,637,667,651
107,608,660,678,1054,764,637,603,636,665,650
108,607,659,676,1048,763,636,602,635,664,649
109,607,657,675,1042,761,635,602,634,663,648
110,607,656,673,1036,759,634,601,633,662,647
111,605,655,671,1030,756,633,600,632,660,646
112,605,654,670,1025,754,632,600,631,659,645
113,604,653,669,1019,751,631,599,630,658,643
114,604,652,668,1013,749,629,598,629,657,642
115,603,651,667,1008,748,628,597,628,656,642
116,602,650,665,1003,745,628,597,628,655,641
117,602,649,664,998,743,627,596,626,654,639
118,601,648,664,992,740,626,596,626,653,638
119,600,647,662,987,738,625,595,625,652,637
120,600,645,661,982,736,624,595,624,652,636
121,599,644,660,977,734,623,594,623,650,635
122,598,643,658,972,732,622,594,622,649,634
123,598,642,657,968,729,621,593,621,647,633
124,597,641,656,963,728,621,592,620,646,632
125,596,640,655,958,726,620,592,620,645,631
126,596,639,654,954,724,618,591,619,644,630
127,595,638,653,949,722,618,591,618,643,629
128,594,637,652,944,720,616,590,617,641,628
129,594,636,651,940,718,615,589,616,640,627
130,593,635,650,935,716,614,589,616,639,626
131,592,634,649,931,714,614,588,615,638,625
132,592,633,647,926,713,613,588,614,637,624
133,591,632,646,922,711,612,587,613,636,623
134,591,631,644,917,710,611,586,612,635,622
135,590,630,643,913,708,610,585,611,633,622
136,590,629,642,908,706,609,585,610,632,621
137,589,628,641,904,704,609,585,610,630,620
138,589,627,640,900,703,607,584,609,630,619
139,588,626,639,895,701,606,584,609,628,618
140,588,626,637,891,700,606,583,607,628,617
141,587,624,636,887,698,605,582,607,627,616
142,586,623,636,883,696,604,582,606,625,615
143,586,622,635,879,695,603,581,606,625,614
144,586,621,634,875,693,602,581,606,624,614
145,585,621,633,872,692,602,580,605,623,613
146,585,620,631,868,690,601,580,603,623,612
147,584,619,630,864,688,600,579,603,622,612
148,583,618,630,860,687,599,579,602,621,611
149,583,617,629,857,685,599,578,602,620,610
150,582,616,628,853,684,598,578,601,619,609
151,582,616,627,849,682,597,578,600,618,609
152,582,615,626,846,681,597,577,599,618,608
153,582,614,625,843,679,596,577,599,617,607
154,582,613,623,839,678,596,576,598,616,606
